scenario,period,metric,category,value,unit,base_case_value,variance_vs_base,variance_vs_base_percent,scenario_logic,main_driver,risk_level,interpretation,source_or_basis,validation_status,notes
Conservative,2026E,Impairments and provisions,Asset Quality,398.1,EUR million,281.1,117.0,41.622,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2026E Conservative case is above the Base case for Impairments and provisions. Scenario value: 398.100 EUR million; Base case: 281.100 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2026E,Net income,Profitability,929.4,EUR million,929.4,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2026E base case reference for Net income: 929.400 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2026E,Net income,Profitability,1005.1,EUR million,929.4,75.7,8.145,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2026E Optimistic case is above the Base case for Net income. Scenario value: 1005.100 EUR million; Base case: 929.400 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2026E,Net income,Profitability,822.1,EUR million,929.4,-107.3,-11.545,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2026E Conservative case is below the Base case for Net income. Scenario value: 822.100 EUR million; Base case: 929.400 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2026E,Customer loans,Balance Sheet,62464.8,EUR million,62464.8,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2026E base case reference for Customer loans: 62464.800 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2026E,Customer loans,Balance Sheet,63077.2,EUR million,62464.8,612.4,0.98,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2026E Optimistic case is above the Base case for Customer loans. Scenario value: 63077.200 EUR million; Base case: 62464.800 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2026E,Customer loans,Balance Sheet,61240.0,EUR million,62464.8,-1224.8,-1.961,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2026E Conservative case is below the Base case for Customer loans. Scenario value: 61240.000 EUR million; Base case: 62464.800 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2026E,Customer deposits,Balance Sheet,114017.6,EUR million,114017.6,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2026E base case reference for Customer deposits: 114017.600 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2026E,Customer deposits,Balance Sheet,115135.5,EUR million,114017.6,1117.9,0.98,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2026E Optimistic case is above the Base case for Customer deposits. Scenario value: 115135.500 EUR million; Base case: 114017.600 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2026E,Customer deposits,Balance Sheet,112340.9,EUR million,114017.6,-1676.7,-1.471,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2026E Conservative case is below the Base case for Customer deposits. Scenario value: 112340.900 EUR million; Base case: 114017.600 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2026E,Equity,Capital,9525.7,EUR million,9525.7,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2026E base case reference for Equity: 9525.700 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2026E,Equity,Capital,9563.6,EUR million,9525.7,37.9,0.398,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2026E Optimistic case is above the Base case for Equity. Scenario value: 9563.600 EUR million; Base case: 9525.700 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2026E,Equity,Capital,9472.1,EUR million,9525.7,-53.6,-0.563,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2026E Conservative case is below the Base case for Equity. Scenario value: 9472.100 EUR million; Base case: 9525.700 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2026E,ROE,Profitability,9.757,%,9.757,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2026E base case reference for ROE: 9.757 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2026E,ROE,Profitability,10.51,%,9.757,0.753,7.718,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2026E Optimistic case is above the Base case for ROE. Scenario value: 10.510 %; Base case: 9.757 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2026E,ROE,Profitability,8.679,%,9.757,-1.078,-11.048,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2026E Conservative case is below the Base case for ROE. Scenario value: 8.679 %; Base case: 9.757 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2026E,ROA,Profitability,0.833,%,0.833,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2026E base case reference for ROA: 0.833 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2026E,ROA,Profitability,0.893,%,0.833,0.06,7.203,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2026E Optimistic case is above the Base case for ROA. Scenario value: 0.893 %; Base case: 0.833 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2026E,ROA,Profitability,0.75,%,0.833,-0.083,-9.964,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2026E Conservative case is below the Base case for ROA. Scenario value: 0.750 %; Base case: 0.833 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2026E,Cost-to-income ratio,Efficiency,38.905,%,38.905,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2026E base case reference for Cost-to-income ratio: 38.905 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2026E,Cost-to-income ratio,Efficiency,37.747,%,38.905,-1.158,-2.976,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2026E Optimistic case is below the Base case for Cost-to-income ratio. Scenario value: 37.747 %; Base case: 38.905 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2026E,Cost-to-income ratio,Efficiency,40.366,%,38.905,1.461,3.755,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2026E Conservative case is above the Base case for Cost-to-income ratio. Scenario value: 40.366 %; Base case: 38.905 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2026E,Loan-to-deposit ratio,Liquidity,54.785,%,54.785,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2026E base case reference for Loan-to-deposit ratio: 54.785 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2026E,Loan-to-deposit ratio,Liquidity,54.785,%,54.785,0.0,0.0,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2026E Optimistic case is in line with the Base case for Loan-to-deposit ratio. Scenario value: 54.785 %; Base case: 54.785 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2026E,Loan-to-deposit ratio,Liquidity,54.513,%,54.785,-0.272,-0.496,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2026E Conservative case is below the Base case for Loan-to-deposit ratio. Scenario value: 54.513 %; Base case: 54.785 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2026E,Cost of risk,Asset Quality,45.001,bps,45.001,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2026E base case reference for Cost of risk: 45.001 bps.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2026E,Cost of risk,Asset Quality,35.005,bps,45.001,-9.996,-22.213,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2026E Optimistic case is below the Base case for Cost of risk. Scenario value: 35.005 bps; Base case: 45.001 bps.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2026E,Cost of risk,Asset Quality,65.007,bps,45.001,20.006,44.457,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2026E Conservative case is above the Base case for Cost of risk. Scenario value: 65.007 bps; Base case: 45.001 bps.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2026E,CET1 ratio assumption,Capital,16.0,%,16.0,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2026E base case reference for CET1 ratio assumption: 16.000 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2026E,CET1 ratio assumption,Capital,16.3,%,16.0,0.3,1.875,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2026E Optimistic case is above the Base case for CET1 ratio assumption. Scenario value: 16.300 %; Base case: 16.000 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2026E,CET1 ratio assumption,Capital,15.4,%,16.0,-0.6,-3.75,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2026E Conservative case is below the Base case for CET1 ratio assumption. Scenario value: 15.400 %; Base case: 16.000 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2027E,Operating income,Profitability,3709.1,EUR million,3709.1,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2027E base case reference for Operating income: 3709.100 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2027E,Operating income,Profitability,3904.8,EUR million,3709.1,195.7,5.276,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2027E Optimistic case is above the Base case for Operating income. Scenario value: 3904.800 EUR million; Base case: 3709.100 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2027E,Operating income,Profitability,3546.1,EUR million,3709.1,-163.0,-4.395,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2027E Conservative case is below the Base case for Operating income. Scenario value: 3546.100 EUR million; Base case: 3709.100 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2027E,Operating costs,Efficiency,1494.0,EUR million,1494.0,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2027E base case reference for Operating costs: 1494.000 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2027E,Operating costs,Efficiency,1483.8,EUR million,1494.0,-10.2,-0.683,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2027E Optimistic case is below the Base case for Operating costs. Scenario value: 1483.800 EUR million; Base case: 1494.000 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2027E,Operating costs,Efficiency,1523.2,EUR million,1494.0,29.2,1.954,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2027E Conservative case is above the Base case for Operating costs. Scenario value: 1523.200 EUR million; Base case: 1494.000 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2027E,Pre-provision operating profit,Profitability,2215.1,EUR million,2215.1,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2027E base case reference for Pre-provision operating profit: 2215.100 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2027E,Pre-provision operating profit,Profitability,2420.9,EUR million,2215.1,205.8,9.291,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2027E Optimistic case is above the Base case for Pre-provision operating profit. Scenario value: 2420.900 EUR million; Base case: 2215.100 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2027E,Pre-provision operating profit,Profitability,2022.9,EUR million,2215.1,-192.2,-8.677,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2027E Conservative case is below the Base case for Pre-provision operating profit. Scenario value: 2022.900 EUR million; Base case: 2215.100 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2027E,Impairments and provisions,Asset Quality,320.1,EUR million,320.1,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2027E base case reference for Impairments and provisions: 320.100 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2027E,Impairments and provisions,Asset Quality,228.5,EUR million,320.1,-91.6,-28.616,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2027E Optimistic case is below the Base case for Impairments and provisions. Scenario value: 228.500 EUR million; Base case: 320.100 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2027E,Impairments and provisions,Asset Quality,463.9,EUR million,320.1,143.8,44.923,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2027E Conservative case is above the Base case for Impairments and provisions. Scenario value: 463.900 EUR million; Base case: 320.100 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2027E,Net income,Profitability,877.1,EUR million,877.1,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2027E base case reference for Net income: 877.100 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2027E,Net income,Profitability,1014.8,EUR million,877.1,137.7,15.699,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2027E Optimistic case is above the Base case for Net income. Scenario value: 1014.800 EUR million; Base case: 877.100 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2027E,Net income,Profitability,721.6,EUR million,877.1,-155.5,-17.729,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2027E Conservative case is below the Base case for Net income. Scenario value: 721.600 EUR million; Base case: 877.100 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2027E,Customer loans,Balance Sheet,64026.4,EUR million,64026.4,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2027E base case reference for Customer loans: 64026.400 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2027E,Customer loans,Balance Sheet,65284.9,EUR million,64026.4,1258.5,1.966,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2027E Optimistic case is above the Base case for Customer loans. Scenario value: 65284.900 EUR million; Base case: 64026.400 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2027E,Customer loans,Balance Sheet,61852.4,EUR million,64026.4,-2174.0,-3.395,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2027E Conservative case is below the Base case for Customer loans. Scenario value: 61852.400 EUR million; Base case: 64026.400 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2027E,Customer deposits,Balance Sheet,116298.0,EUR million,116298.0,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2027E base case reference for Customer deposits: 116298.000 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2027E,Customer deposits,Balance Sheet,119165.2,EUR million,116298.0,2867.2,2.465,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2027E Optimistic case is above the Base case for Customer deposits. Scenario value: 119165.200 EUR million; Base case: 116298.000 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2027E,Customer deposits,Balance Sheet,113464.3,EUR million,116298.0,-2833.7,-2.437,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2027E Conservative case is below the Base case for Customer deposits. Scenario value: 113464.300 EUR million; Base case: 116298.000 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2027E,Equity,Capital,9964.3,EUR million,9964.3,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2027E base case reference for Equity: 9964.300 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2027E,Equity,Capital,10071.0,EUR million,9964.3,106.7,1.071,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2027E Optimistic case is above the Base case for Equity. Scenario value: 10071.000 EUR million; Base case: 9964.300 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2027E,Equity,Capital,9832.9,EUR million,9964.3,-131.4,-1.319,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2027E Conservative case is below the Base case for Equity. Scenario value: 9832.900 EUR million; Base case: 9964.300 EUR million.,forecast_financials.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2027E,ROE,Profitability,8.802,%,8.802,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2027E base case reference for ROE: 8.802 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Optimistic,2027E,ROE,Profitability,10.076,%,8.802,1.274,14.474,"Upside scenario assuming stronger profitability, controlled risk costs and resilient capital.",Linked to forecast assumptions and scenario-based financial model,Lower risk / upside case,2027E Optimistic case is above the Base case for ROE. Scenario value: 10.076 %; Base case: 8.802 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Conservative,2027E,ROE,Profitability,7.339,%,8.802,-1.463,-16.621,"Downside scenario assuming weaker revenue development, higher cost pressure and higher credit risk costs.",Linked to forecast assumptions and scenario-based financial model,Higher risk / downside case,2027E Conservative case is below the Base case for ROE. Scenario value: 7.339 %; Base case: 8.802 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
Base,2027E,ROA,Profitability,0.769,%,0.769,0.0,0.0,"Central scenario assuming moderate normalisation, controlled costs and stable capital.",Linked to forecast assumptions and scenario-based financial model,Moderate risk / central case,2027E base case reference for ROA: 0.769 %.,forecast_ratios.csv,To Review,"Educational scenario analysis only; not an official projection, investment advice or financial recommendation"
