item,category,period,value,unit,source_document,source_type,source_section_or_page,reported_or_calculated,calculation_method,validation_status,notes
Loans to customers,Balance Sheet,2023A,,EUR million,Millennium bcp Annual Report 2023,Annual Report,,Reported,,Pending,To be extracted from official annual report
Loans to customers,Balance Sheet,2024A,,EUR million,Millennium bcp Annual Report 2024,Annual Report,,Reported,,Pending,To be extracted from official annual report
Loans to customers,Balance Sheet,2025A,,EUR million,Millennium bcp Annual Report 2025,Annual Report,,Reported,,Pending,To be extracted from official annual report
Customer deposits,Balance sheet,2022A,75907.0,EUR million,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Balance sheet,Reported,,Needs Review,Reported as deposits and other customer resources. Keep semantic review against customer funds and balance sheet customer resources.
Customer deposits,Balance Sheet,2023A,,EUR million,Millennium bcp Annual Report 2023,Annual Report,,Reported,,Pending,To be extracted from official annual report
Customer deposits,Balance Sheet,2024A,,EUR million,Millennium bcp Annual Report 2024,Annual Report,,Reported,,Pending,To be extracted from official annual report
Customer deposits,Balance Sheet,2025A,,EUR million,Millennium bcp Annual Report 2025,Annual Report,,Reported,,Pending,To be extracted from official annual report
Total assets,Balance sheet,2022A,89861.0,EUR million,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Balance sheet,Reported,,Reviewed,Reported as ativo total.
Total assets,Balance Sheet,2023A,,EUR million,Millennium bcp Annual Report 2023,Annual Report,,Reported,,Pending,To be extracted from official annual report
Total assets,Balance Sheet,2024A,,EUR million,Millennium bcp Annual Report 2024,Annual Report,,Reported,,Pending,To be extracted from official annual report
Total assets,Balance Sheet,2025A,,EUR million,Millennium bcp Annual Report 2025,Annual Report,,Reported,,Pending,To be extracted from official annual report
Equity,Balance sheet,2022A,5921.0,EUR million,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Balance sheet,Reported,,Reviewed,Reported as situa??o l?quida.
Equity,Balance Sheet,2023A,,EUR million,Millennium bcp Annual Report 2023,Annual Report,,Reported,,Pending,To be extracted from official annual report
Equity,Balance Sheet,2024A,,EUR million,Millennium bcp Annual Report 2024,Annual Report,,Reported,,Pending,To be extracted from official annual report
Equity,Balance Sheet,2025A,,EUR million,Millennium bcp Annual Report 2025,Annual Report,,Reported,,Pending,To be extracted from official annual report
ROE,Profitability ratio,2022A,4.0,%,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Ratios,Reported,,Reviewed,Reported as return on equity.
ROE,Profitability Ratio,2023A,,%,Millennium bcp Annual Report 2023,Annual Report,,Reported or Calculated,,Pending,Use reported figure where available; otherwise calculate from net income and average equity
ROE,Profitability Ratio,2024A,,%,Millennium bcp Annual Report 2024,Annual Report,,Reported or Calculated,,Pending,Use reported figure where available; otherwise calculate from net income and average equity
ROE,Profitability Ratio,2025A,,%,Millennium bcp Annual Report 2025,Annual Report,,Reported or Calculated,,Pending,Use reported figure where available; otherwise calculate from net income and average equity
ROA,Profitability ratio,2022A,0.1,%,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Ratios,Reported,,Reviewed,Reported as return on assets.
ROA,Profitability Ratio,2023A,,%,Millennium bcp Annual Report 2023,Annual Report,,Calculated,Net income / average total assets,Pending,Prefer average total assets if available
ROA,Profitability Ratio,2024A,,%,Millennium bcp Annual Report 2024,Annual Report,,Calculated,Net income / average total assets,Pending,Prefer average total assets if available
ROA,Profitability Ratio,2025A,,%,Millennium bcp Annual Report 2025,Annual Report,,Calculated,Net income / average total assets,Pending,Prefer average total assets if available
Cost-to-income,Efficiency Ratio,2022A,,%,Millennium bcp Annual Report 2022,Annual Report,,Reported or Calculated,Operating costs / operating income,Pending,Check against reported ratio where available
Cost-to-income,Efficiency Ratio,2023A,,%,Millennium bcp Annual Report 2023,Annual Report,,Reported or Calculated,Operating costs / operating income,Pending,Check against reported ratio where available
Cost-to-income,Efficiency Ratio,2024A,,%,Millennium bcp Annual Report 2024,Annual Report,,Reported or Calculated,Operating costs / operating income,Pending,Check against reported ratio where available
Cost-to-income,Efficiency Ratio,2025A,,%,Millennium bcp Annual Report 2025,Annual Report,,Reported or Calculated,Operating costs / operating income,Pending,Check against reported ratio where available
CET1 ratio,Capital Ratio,2022A,,%,Millennium bcp Annual Report 2022,Annual Report,,Reported,,Pending,Use official reported regulatory ratio
CET1 ratio,Capital Ratio,2023A,,%,Millennium bcp Annual Report 2023,Annual Report,,Reported,,Pending,Use official reported regulatory ratio
CET1 ratio,Capital Ratio,2024A,,%,Millennium bcp Annual Report 2024,Annual Report,,Reported,,Pending,Use official reported regulatory ratio
CET1 ratio,Capital Ratio,2025A,,%,Millennium bcp Annual Report 2025,Annual Report,,Reported,,Pending,Use official reported regulatory ratio
NPL ratio,Asset Quality Ratio,2022A,,%,Millennium bcp Annual Report 2022,Annual Report,,Reported,,Pending,Use official reported figure where available
NPL ratio,Asset Quality Ratio,2023A,,%,Millennium bcp Annual Report 2023,Annual Report,,Reported,,Pending,Use official reported figure where available
NPL ratio,Asset Quality Ratio,2024A,,%,Millennium bcp Annual Report 2024,Annual Report,,Reported,,Pending,Use official reported figure where available
NPL ratio,Asset Quality Ratio,2025A,,%,Millennium bcp Annual Report 2025,Annual Report,,Reported,,Pending,Use official reported figure where available
Loan-to-deposit ratio,Liquidity and funding ratio,2022A,74.0,%,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Ratios,Reported,,Reviewed,Reported as customer loans net / deposits and other customer resources.
Loan-to-deposit ratio,Liquidity Ratio,2023A,,%,Millennium bcp Annual Report 2023,Annual Report,,Calculated,Loans to customers / customer deposits,Pending,Ensure consistent gross/net loan definition
Loan-to-deposit ratio,Liquidity Ratio,2024A,,%,Millennium bcp Annual Report 2024,Annual Report,,Calculated,Loans to customers / customer deposits,Pending,Ensure consistent gross/net loan definition
Loan-to-deposit ratio,Liquidity Ratio,2025A,,%,Millennium bcp Annual Report 2025,Annual Report,,Calculated,Loans to customers / customer deposits,Pending,Ensure consistent gross/net loan definition
Net interest income,Profitability,2025A,2898.1,EUR million,Millennium bcp Key Indicators 2025,Official company source,Results section,Reported,,Reviewed,Reported margin financeira for 2025
Operating income,Profitability,2025A,3815.2,EUR million,Millennium bcp Key Indicators 2025,Official company source,Results section,Reported,,Reviewed,Reported produto bancario for 2025
Operating costs,Efficiency,2025A,1415.1,EUR million,Millennium bcp Key Indicators 2025,Official company source,Results section,Reported,,Reviewed,Reported operating costs for 2025
Impairments and provisions,Asset Quality,2025A,199.5,EUR million,Millennium bcp Key Indicators 2025,Official company source,Results section,Reported,,Reviewed,Reported net credit impairments for 2025
Net income,Profitability,2025A,1018.6,EUR million,Millennium bcp Key Indicators 2025,Official company source,Results section,Reported,,Reviewed,Reported net income for 2025
Customer loans,Balance Sheet,2025A,61240.0,EUR million,Millennium bcp Key Indicators 2025,Official company source,Balance sheet section,Reported,,Reviewed,Reported net customer loans for 2025
Customer deposits,Balance Sheet,2025A,111782.0,EUR million,Millennium bcp Key Indicators 2025,Official company source,Balance sheet section,Reported,,Reviewed,Reported total customer funds for 2025; metric label kept as Customer deposits for dataset consistency
Total assets,Balance Sheet,2025A,109333.0,EUR million,Millennium bcp Key Indicators 2025,Official company source,Balance sheet section,Reported,,Reviewed,Reported total assets for 2025
Equity,Capital,2025A,9061.0,EUR million,Millennium bcp Key Indicators 2025,Official company source,Balance sheet section,Reported,,Reviewed,Reported equity for 2025
ROE,Profitability,2025A,14.1,%,Millennium bcp Key Indicators 2025,Official company source,Key ratios section,Reported,,Reviewed,Reported ROE for 2025
ROA,Profitability,2025A,1.1,%,Millennium bcp Key Indicators 2025,Official company source,Key ratios section,Reported,,Reviewed,Reported ROA for 2025
Net interest margin,Profitability,2025A,2.89,%,Millennium bcp Key Indicators 2025,Official company source,Key ratios section,Reported,,Reviewed,Reported taxa de margem financeira for 2025
Cost-to-income ratio,Efficiency,2025A,37.1,%,Millennium bcp Key Indicators 2025,Official company source,Key ratios section,Reported,,Reviewed,Reported efficiency ratio for 2025
Cost-to-income ratio excluding specific items,Efficiency,2025A,36.5,%,Millennium bcp Key Indicators 2025,Official company source,Key ratios section,Reported,,Reviewed,Reported efficiency ratio excluding specific items for 2025
Cost of risk,Asset Quality,2025A,32.0,bps,Millennium bcp Key Indicators 2025,Official company source,Key ratios section,Reported,,Reviewed,Reported cost of risk for 2025
NPE ratio,Asset Quality,2025A,2.4,%,Millennium bcp Key Indicators 2025,Official company source,Key ratios section,Reported,,Reviewed,Reported NPE ratio for 2025
NPE coverage ratio,Asset Quality,2025A,90.9,%,Millennium bcp Key Indicators 2025,Official company source,Key ratios section,Reported,,Reviewed,Reported NPE coverage ratio for 2025
Loan-to-deposit ratio,Liquidity,2025A,68.2,%,Millennium bcp Key Indicators 2025,Official company source,Key ratios section,Reported,,Reviewed,Reported customer loans to deposits and other customer resources for 2025
LCR,Liquidity,2025A,334.0,%,Millennium bcp Key Indicators 2025,Official company source,Key ratios section,Reported,,Reviewed,Reported liquidity coverage ratio for 2025
NSFR,Liquidity,2025A,180.0,%,Millennium bcp Key Indicators 2025,Official company source,Key ratios section,Reported,,Reviewed,Reported net stable funding ratio for 2025
CET1 fully implemented ratio,Capital,2025A,15.9,%,Millennium bcp Key Indicators 2025,Official company source,Capital ratios section,Reported,,Reviewed,Reported CET1 fully implemented ratio for 2025
Total capital fully implemented ratio,Capital,2025A,19.9,%,Millennium bcp Key Indicators 2025,Official company source,Capital ratios section,Reported,,Reviewed,Reported total capital fully implemented ratio for 2025
EPS,Per Share,2025A,0.066,EUR,Millennium bcp Share Indicators 2025,Official company source,Share indicators section,Reported,,Reviewed,Reported adjusted EPS for 2025
Book value per share,Per Share,2025A,0.528,EUR,Millennium bcp Share Indicators 2025,Official company source,Share indicators section,Reported,,Reviewed,Reported book value per share for 2025
Net interest income,Profitability,2024A,2830.9,EUR million,Millennium bcp Official Key Indicators 2025,Official company source,Results section,Reported,,Reviewed,Reported margin financeira for 2024 using reexpressed comparative figures
Operating income,Profitability,2024A,3573.5,EUR million,Millennium bcp Official Key Indicators 2025,Official company source,Results section,Reported,,Reviewed,Reported produto bancario for 2024 using reexpressed comparative figures
Operating costs,Efficiency,2024A,1306.1,EUR million,Millennium bcp Official Key Indicators 2025,Official company source,Results section,Reported,,Reviewed,Reported operating costs for 2024 using reexpressed comparative figures
Operating costs excluding specific items,Efficiency,2024A,1293.5,EUR million,Millennium bcp Official Key Indicators 2025,Official company source,Results section,Reported,,Reviewed,Reported operating costs excluding specific items for 2024 using reexpressed comparative figures
Net credit impairments,Asset Quality,2024A,183.3,EUR million,Millennium bcp Official Key Indicators 2025,Official company source,Results section,Reported,,Reviewed,Reported net credit impairments for 2024 using reexpressed comparative figures
Other impairments and provisions,Asset Quality,2024A,674.2,EUR million,Millennium bcp Official Key Indicators 2025,Official company source,Results section,Reported,,Reviewed,Reported other impairments and provisions for 2024 using reexpressed comparative figures
Net income,Profitability,2024A,906.4,EUR million,Millennium bcp Official Key Indicators 2025,Official company source,Results section,Reported,,Reviewed,Reported net income for 2024 using reexpressed comparative figures
Total assets,Balance Sheet,2024A,102144.0,EUR million,Millennium bcp Official Key Indicators 2025,Official company source,Balance sheet section,Reported,,Reviewed,Reported total assets for 2024 using reexpressed comparative figures
Equity,Capital,2024A,8193.0,EUR million,Millennium bcp Official Key Indicators 2025,Official company source,Balance sheet section,Reported,,Reviewed,Reported equity for 2024 using reexpressed comparative figures
Customer loans,Balance Sheet,2024A,56850.0,EUR million,Millennium bcp Official Key Indicators 2025,Official company source,Balance sheet section,Reported,,Reviewed,Reported net customer loans for 2024 using reexpressed comparative figures
Customer deposits,Balance Sheet,2024A,102938.0,EUR million,Millennium bcp Official Key Indicators 2025,Official company source,Balance sheet section,Reported,,Needs Review,Reported total customer funds for 2024; metric label kept as Customer deposits for dataset consistency
Customer funds,Balance Sheet,2024A,102938.0,EUR million,Millennium bcp Official Key Indicators 2025,Official company source,Balance sheet section,Reported,,Reviewed,Reported total customer funds for 2024 using reexpressed comparative figures
Balance sheet customer resources,Balance Sheet,2024A,85334.0,EUR million,Millennium bcp Official Key Indicators 2025,Official company source,Balance sheet section,Reported,,Reviewed,Reported balance sheet customer resources for 2024 using reexpressed comparative figures
Deposits and other customer resources,Balance Sheet,2024A,84042.0,EUR million,Millennium bcp Official Key Indicators 2025,Official company source,Balance sheet section,Reported,,Reviewed,Reported deposits and other customer resources for 2024 using reexpressed comparative figures
ROA,Profitability,2024A,1.0,%,Millennium bcp Official Key Indicators 2025,Official company source,Profitability and efficiency section,Reported,,Reviewed,Reported ROA for 2024 using reexpressed comparative figures
ROE,Profitability,2024A,13.8,%,Millennium bcp Official Key Indicators 2025,Official company source,Profitability and efficiency section,Reported,,Reviewed,Reported ROE for 2024 using reexpressed comparative figures
Net interest margin,Profitability,2024A,3.04,%,Millennium bcp Official Key Indicators 2025,Official company source,Profitability and efficiency section,Reported,,Reviewed,Reported net interest margin for 2024 using reexpressed comparative figures
Cost-to-income ratio,Efficiency,2024A,36.5,%,Millennium bcp Official Key Indicators 2025,Official company source,Profitability and efficiency section,Reported,,Reviewed,Reported efficiency ratio for 2024 using reexpressed comparative figures
Cost-to-income ratio excluding specific items,Efficiency,2024A,36.2,%,Millennium bcp Official Key Indicators 2025,Official company source,Profitability and efficiency section,Reported,,Reviewed,Reported efficiency ratio excluding specific items for 2024 using reexpressed comparative figures
Cost of risk,Asset Quality,2024A,31.0,bps,Millennium bcp Official Key Indicators 2025,Official company source,Credit quality section,Reported,,Reviewed,Reported cost of risk for 2024 using reexpressed comparative figures
NPE ratio,Asset Quality,2024A,3.1,%,Millennium bcp Official Key Indicators 2025,Official company source,Credit quality section,Reported,,Reviewed,Reported NPE ratio for 2024 using reexpressed comparative figures
NPE coverage ratio,Asset Quality,2024A,82.2,%,Millennium bcp Official Key Indicators 2025,Official company source,Credit quality section,Reported,,Reviewed,Reported NPE coverage ratio for 2024 using reexpressed comparative figures
Restructured loans ratio,Asset Quality,2024A,2.6,%,Millennium bcp Official Key Indicators 2025,Official company source,Credit quality section,Reported,,Reviewed,Reported restructured loans ratio for 2024 using reexpressed comparative figures
Loan-to-deposit ratio,Liquidity,2024A,67.6,%,Millennium bcp Official Key Indicators 2025,Official company source,Balance sheet section,Reported,,Reviewed,Reported customer loans to deposits and other customer resources for 2024 using reexpressed comparative figures
Loan-to-balance-sheet-customer-resources ratio,Liquidity,2024A,66.6,%,Millennium bcp Official Key Indicators 2025,Official company source,Balance sheet section,Reported,,Reviewed,Reported customer loans to balance sheet customer resources for 2024 using reexpressed comparative figures
LCR,Liquidity,2024A,342.0,%,Millennium bcp Official Key Indicators 2025,Official company source,Liquidity section,Reported,,Reviewed,Reported liquidity coverage ratio for 2024 using reexpressed comparative figures
NSFR,Liquidity,2024A,181.0,%,Millennium bcp Official Key Indicators 2025,Official company source,Liquidity section,Reported,,Reviewed,Reported net stable funding ratio for 2024 using reexpressed comparative figures
CET1 phased-in ratio,Capital,2024A,16.4,%,Millennium bcp Official Key Indicators 2025,Official company source,Capital section,Reported,,Reviewed,Reported CET1 phased-in ratio for 2024 using reexpressed comparative figures
CET1 fully implemented ratio,Capital,2024A,16.3,%,Millennium bcp Official Key Indicators 2025,Official company source,Capital section,Reported,,Reviewed,Reported CET1 fully implemented ratio for 2024 using reexpressed comparative figures
Total capital fully implemented ratio,Capital,2024A,20.6,%,Millennium bcp Official Key Indicators 2025,Official company source,Capital section,Reported,,Reviewed,Reported total capital fully implemented ratio for 2024 using reexpressed comparative figures
EPS,Per Share,2024A,0.058,EUR,Millennium bcp Official Share Indicators 2025,Official company source,Share indicators section,Reported,,Reviewed,Reported adjusted EPS for 2024
Book value per share,Per Share,2024A,0.469,EUR,Millennium bcp Official Share Indicators 2025,Official company source,Share indicators section,Reported,,Reviewed,Reported book value per share for 2024
Net interest income,Profitability,2023A,2825.7,EUR million,Millennium bcp Official FY2024 Results,Official company source,2024 results summary / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported net interest income for 2023 using reexpressed comparative figures
Operating income,Profitability,2023A,3769.7,EUR million,Millennium bcp Official FY2024 Results,Official company source,2024 results summary / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported operating income for 2023 using reexpressed comparative figures
Operating costs,Efficiency,2023A,1162.6,EUR million,Millennium bcp Official FY2024 Results,Official company source,2024 results summary / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported operating costs for 2023 using reexpressed comparative figures
Impairments and provisions,Asset Quality,2023A,240.0,EUR million,Millennium bcp Official FY2024 Results,Official company source,2024 results summary / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported loan impairment charges net of recoveries for 2023 using reexpressed comparative figures
Net income,Profitability,2023A,856.0,EUR million,Millennium bcp Official FY2024 Results,Official company source,2024 results summary / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported net income attributable to shareholders for 2023 using reexpressed comparative figures
Customer loans,Balance Sheet,2023A,55218.0,EUR million,Millennium bcp Official FY2024 Results,Official company source,2024 results summary / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported net customer loans for 2023 using reexpressed comparative figures
Customer deposits,Balance Sheet,2023A,95328.0,EUR million,Millennium bcp Official FY2024 Results,Official company source,2024 results summary / 2023 reexpressed comparative figures,Reported,,Needs Review,Reported total customer funds for 2023; metric label kept as Customer deposits for dataset consistency
Customer funds,Balance Sheet,2023A,95328.0,EUR million,Millennium bcp Official FY2024 Results,Official company source,2024 results summary / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported total customer funds for 2023 using reexpressed comparative figures
Total assets,Balance Sheet,2023A,94371.0,EUR million,Millennium bcp Official FY2024 Results,Official company source,2024 results summary / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported total assets for 2023 using reexpressed comparative figures
Equity,Capital,2023A,7290.0,EUR million,Millennium bcp Official FY2024 Results,Official company source,2024 results summary / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported equity for 2023 using reexpressed comparative figures
ROE,Profitability,2023A,15.1,%,Millennium bcp Official FY2024 Results,Official company source,Key ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported ROE for 2023 using reexpressed comparative figures
ROA,Profitability,2023A,1.0,%,Millennium bcp Official FY2024 Results,Official company source,Key ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported ROA for 2023 using reexpressed comparative figures
Net interest margin,Profitability,2023A,3.17,%,Millennium bcp Official FY2024 Results,Official company source,Key ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported net interest margin for 2023 using reexpressed comparative figures
Cost-to-income ratio,Efficiency,2023A,30.8,%,Millennium bcp Official FY2024 Results,Official company source,Key ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported cost-to-income ratio for 2023 using reexpressed comparative figures
Cost-to-income ratio excluding specific items,Efficiency,2023A,30.2,%,Millennium bcp Official FY2024 Results,Official company source,Key ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported cost-to-income ratio excluding specific items for 2023 using reexpressed comparative figures
Cost of risk,Asset Quality,2023A,42.0,bps,Millennium bcp Official FY2024 Results,Official company source,Key ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported cost of risk for 2023 using reexpressed comparative figures
NPE ratio,Asset Quality,2023A,3.5,%,Millennium bcp Official FY2024 Results,Official company source,Key ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported NPE ratio for 2023 using reexpressed comparative figures
NPE coverage ratio,Asset Quality,2023A,77.6,%,Millennium bcp Official FY2024 Results,Official company source,Key ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported NPE coverage ratio for 2023 using reexpressed comparative figures
Restructured loans ratio,Asset Quality,2023A,3.3,%,Millennium bcp Official FY2024 Results,Official company source,Key ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported restructured loans ratio for 2023 using reexpressed comparative figures
Loan-to-deposit ratio,Liquidity,2023A,69.2,%,Millennium bcp Official FY2024 Results,Official company source,Key ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported loan-to-deposit ratio for 2023 using reexpressed comparative figures
Loan-to-balance-sheet-customer-resources ratio,Liquidity,2023A,67.8,%,Millennium bcp Official FY2024 Results,Official company source,Key ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported loan-to-balance-sheet-customer-resources ratio for 2023 using reexpressed comparative figures
LCR,Liquidity,2023A,317.0,%,Millennium bcp Official FY2024 Results,Official company source,Key ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported liquidity coverage ratio for 2023 using reexpressed comparative figures
NSFR,Liquidity,2023A,177.0,%,Millennium bcp Official FY2024 Results,Official company source,Key ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported net stable funding ratio for 2023 using reexpressed comparative figures
CET1 phased-in ratio,Capital,2023A,15.2,%,Millennium bcp Official FY2024 Results,Official company source,Capital ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported CET1 phased-in ratio for 2023 using reexpressed comparative figures
CET1 fully implemented ratio,Capital,2023A,15.2,%,Millennium bcp Official FY2024 Results,Official company source,Capital ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported CET1 fully implemented ratio for 2023 using reexpressed comparative figures
Total capital fully implemented ratio,Capital,2023A,19.6,%,Millennium bcp Official FY2024 Results,Official company source,Capital ratios / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported total capital fully implemented ratio for 2023 using reexpressed comparative figures
EPS,Per Share,2023A,0.056,EUR,Millennium bcp Official FY2024 Results,Official company source,Share indicators / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported EPS for 2023 using official public source
Book value per share,Per Share,2023A,0.412,EUR,Millennium bcp Official FY2024 Results,Official company source,Share indicators / 2023 reexpressed comparative figures,Reported,,Reviewed,Reported book value per share for 2023 using official public source
Customer loans,Balance sheet,2022A,56198.0,EUR million,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Balance sheet,Reported,,Reviewed,Reported as cr?dito a clientes l?quido.
Net interest margin,Profitability ratio,2022A,2.46,%,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Ratios,Reported,,Reviewed,Reported as taxa de margem financeira.
Cost-to-income ratio,Efficiency ratio,2022A,37.4,%,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Ratios,Reported,,Reviewed,Reported as r?cio de efici?ncia.
Cost-to-income ratio excluding specific items,Efficiency ratio,2022A,36.8,%,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Ratios,Reported,,Needs Review,Keep consistency review against later-year definition.
Cost of risk,Asset quality ratio,2022A,52.0,bps,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Ratios,Reported,,Reviewed,Reported as custo do risco.
NPE ratio,Asset quality ratio,2022A,3.8,%,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Ratios,Reported,,Reviewed,Reported as Non-Performing Exposures / customer loans.
NPE coverage ratio,Asset quality ratio,2022A,68.3,%,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Ratios,Reported,,Reviewed,Reported as credit impairment balance / NPE.
Restructured loans ratio,Asset quality ratio,2022A,3.2,%,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Ratios,Reported,,Reviewed,Reported as restructured loans / customer loans.
Loan-to-balance-sheet-customer-resources ratio,Liquidity and funding ratio,2022A,72.7,%,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Ratios,Reported,,Reviewed,Reported as customer loans net / balance sheet customer resources.
LCR,Liquidity and funding ratio,2022A,212.0,%,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Ratios,Reported,,Reviewed,Reported as Liquidity Coverage Ratio.
NSFR,Liquidity and funding ratio,2022A,154.0,%,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Ratios,Reported,,Reviewed,Reported as Net Stable Funding Ratio.
CET1 phased-in ratio,Capital ratio,2022A,12.6,%,Millennium bcp Official FY2022 Results Press Release,Official public source,Summary of indicators / Ratios,Reported,,Reviewed,Reported as common equity tier I phased-in ratio.
