scenario,line_item,period,value,unit,calculation_method,source_or_basis,validation_status,notes
Optimistic,Pre-provision operating profit,2027E,2420.9,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Customer loans,2027E,65284.9,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Customer deposits,2027E,119165.2,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Total assets,2027E,116554.4,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Equity,2027E,10071.0,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Impairments and provisions,2027E,228.5,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Net income,2027E,1014.8,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,CET1 ratio assumption,2027E,16.4,%,Direct scenario assumption,forecast_assumptions.csv,To Review,Educational capital assumption only
Optimistic,Net interest income,2028E,2971.0,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Other operating income,2028E,1016.8,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Operating income,2028E,3987.8,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Operating costs,2028E,1516.5,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Pre-provision operating profit,2028E,2471.3,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Customer loans,2028E,67896.3,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Customer deposits,2028E,123931.8,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Total assets,2028E,121216.6,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Equity,2028E,10580.1,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Impairments and provisions,2028E,271.6,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,Net income,2028E,1018.2,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Optimistic,CET1 ratio assumption,2028E,16.5,%,Direct scenario assumption,forecast_assumptions.csv,To Review,Educational capital assumption only
Conservative,Net interest income,2025A,2898.1,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Conservative,Other operating income,2025A,917.1,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Conservative,Operating income,2025A,3815.2,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Conservative,Operating costs,2025A,1415.1,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Conservative,Pre-provision operating profit,2025A,2400.1,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Conservative,Customer loans,2025A,61240.0,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Conservative,Customer deposits,2025A,111782.0,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Conservative,Total assets,2025A,109333.0,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Conservative,Equity,2025A,9061.0,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Conservative,Impairments and provisions,2025A,199.5,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Conservative,Net income,2025A,1018.6,EUR million,Historical actual from financial_data.csv,Public financial statements structured in project dataset,Reviewed,Historical actual used as forecast base year
Conservative,Net interest income,2026E,2724.2,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Other operating income,2026E,921.7,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Operating income,2026E,3645.9,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Operating costs,2026E,1471.7,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Pre-provision operating profit,2026E,2174.2,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Customer loans,2026E,61240.0,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Customer deposits,2026E,112340.9,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Total assets,2026E,109606.3,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Equity,2026E,9472.1,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Impairments and provisions,2026E,398.1,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Net income,2026E,822.1,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,CET1 ratio assumption,2026E,15.4,%,Direct scenario assumption,forecast_assumptions.csv,To Review,Educational capital assumption only
Conservative,Net interest income,2027E,2615.2,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Other operating income,2027E,930.9,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Operating income,2027E,3546.1,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Operating costs,2027E,1523.2,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Pre-provision operating profit,2027E,2022.9,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Customer loans,2027E,61852.4,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Customer deposits,2027E,113464.3,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Total assets,2027E,110702.4,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Equity,2027E,9832.9,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Impairments and provisions,2027E,463.9,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Net income,2027E,721.6,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,CET1 ratio assumption,2027E,15.2,%,Direct scenario assumption,forecast_assumptions.csv,To Review,Educational capital assumption only
Conservative,Net interest income,2028E,2562.9,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Other operating income,2028E,940.2,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Operating income,2028E,3503.2,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Operating costs,2028E,1576.5,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Pre-provision operating profit,2028E,1926.6,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Customer loans,2028E,62780.2,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Customer deposits,2028E,115166.3,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Total assets,2028E,112362.9,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Equity,2028E,10169.8,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Impairments and provisions,2028E,470.9,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,Net income,2028E,673.8,EUR million,Scenario-based educational forecast model,2025A actuals plus forecast_assumptions.csv,To Review,"Educational estimate only; not an official projection, investment advice or financial recommendation"
Conservative,CET1 ratio assumption,2028E,15.0,%,Direct scenario assumption,forecast_assumptions.csv,To Review,Educational capital assumption only
